Pin 0,Pin 1,Pin 2,Pin 3,Pin 4,Pin 5,Pin 6,Pin 7,Pin 8,Pin 9,Pin 10,Pin 11,Pin 12,Pin 13,Pin 14,Pin 15
537,591,376,0,730,459,677,247,105,324,175,48,40,0,365,0
532,591,382,0,731,460,672,244,94,315,173,45,44,0,359,0
531,588,383,0,732,469,668,234,89,309,174,43,54,0,357,0
534,587,373,0,730,480,658,221,93,297,170,38,51,0,351,0
561,548,292,0,648,626,578,113,39,231,104,18,9,0,232,0
606,588,324,0,670,706,603,173,29,227,91,42,21,0,182,0
655,611,324,0,672,737,608,203,36,254,90,68,81,0,237,0
667,635,359,0,675,723,646,305,28,267,111,91,147,0,329,0
687,660,390,0,716,745,681,337,49,285,115,131,194,3,332,0
680,625,239,0,729,776,665,236,22,233,64,84,43,0,51,0
652,601,196,0,737,753,656,194,11,192,79,42,0,0,10,0
481,540,324,0,695,383,678,343,0,164,102,30,16,0,212,0
471,563,386,0,722,370,709,367,13,218,131,54,116,0,324,0
502,524,277,0,655,527,622,192,6,183,96,11,1,0,168,0
630,586,219,0,702,744,561,117,11,166,63,36,29,0,28,0
680,622,300,0,713,764,620,264,6,205,95,76,117,0,199,0
693,650,345,0,720,742,659,322,7,227,118,104,196,0,339,0
696,651,315,0,737,768,667,295,10,226,95,98,147,0,210,0
691,613,196,0,730,784,622,162,11,212,61,58,39,0,18,0
647,591,198,0,747,749,646,197,1,197,73,29,0,0,0,0
471,528,332,0,716,323,683,372,0,190,105,33,24,0,210,0
469,550,375,0,712,394,691,350,2,189,111,46,57,0,232,0
585,555,261,0,704,708,618,174,9,192,75,22,0,0,0,0
656,605,288,0,719,765,623,245,7,211,79,74,9,0,19,0
679,630,352,0,730,754,672,347,0,224,88,122,90,0,172,0
683,651,385,0,749,742,701,373,0,232,103,135,145,0,265,0
677,632,347,0,742,763,700,380,0,220,89,146,83,0,90,0
673,613,280,0,738,773,671,277,6,202,64,83,20,0,7,0
599,568,248,0,754,724,681,245,0,167,62,32,0,0,0,0
476,525,344,0,734,369,700,364,0,189,100,42,9,0,166,0
407,521,423,0,703,199,721,395,0,206,147,59,125,0,341,0
507,503,300,0,636,603,610,202,0,178,96,25,0,0,85,0
632,574,279,0,714,760,613,192,0,160,54,40,19,0,15,0
685,629,367,0,743,773,696,383,0,182,78,99,120,0,203,0
696,644,354,0,745,775,698,353,0,214,87,124,132,0,182,0
690,602,224,0,733,787,643,210,0,179,57,76,57,0,42,0
654,582,203,0,751,768,657,194,0,127,53,37,0,0,0,0
523,526,281,0,750,532,689,318,0,138,80,13,0,0,10,0
426,506,377,0,741,279,721,372,0,175,109,43,57,0,255,0
473,527,352,0,738,415,694,296,0,178,106,29,19,0,172,0
563,517,270,0,671,692,615,165,0,144,80,15,4,0,45,0
668,591,291,0,730,782,642,271,0,167,60,49,35,0,50,0
690,637,373,0,745,767,704,393,0,155,84,96,129,0,227,0
699,630,312,0,746,786,681,302,0,177,62,90,94,0,106,0
