Pin 0,Pin 1,Pin 2,Pin 3,Pin 4,Pin 5,Pin 6,Pin 7,Pin 8,Pin 9,Pin 10,Pin 11,Pin 12,Pin 13,Pin 14,Pin 15
366,363,133,0,635,534,730,346,78,15,87,9,60,0,0,0
364,360,119,0,640,541,732,340,83,11,81,9,47,0,0,0
368,367,108,0,645,547,736,345,84,11,76,8,32,0,0,0
375,368,131,0,643,515,742,366,90,24,94,13,45,0,0,0
377,364,116,0,645,529,739,358,90,21,89,7,6,0,0,0
363,367,117,0,640,526,733,333,95,23,102,7,16,0,0,0
365,368,116,0,640,513,736,344,88,23,102,10,36,0,0,0
370,373,140,0,645,503,744,348,97,14,95,6,40,0,0,0
378,375,86,0,679,578,759,309,97,20,73,5,0,0,0,0
386,373,93,0,667,573,743,310,97,16,97,5,0,0,0,0
367,367,91,0,649,528,739,321,68,10,92,8,0,0,0,0
360,323,46,0,648,539,729,285,57,5,57,2,0,0,0,0
242,130,0,0,606,484,701,243,26,0,46,0,0,0,0,0
330,181,0,0,686,605,730,230,71,0,41,0,0,0,0,0
420,291,0,0,737,674,763,254,104,11,69,0,0,0,0,0
431,359,58,0,673,596,722,307,113,30,98,11,0,0,0,0
428,374,55,0,683,608,727,275,97,26,96,19,0,0,0,0
406,301,0,0,714,635,742,231,96,5,45,6,0,0,0,0
387,178,0,0,722,655,742,218,107,2,18,0,0,0,0,0
399,245,0,0,711,648,733,251,108,9,62,7,0,0,0,0
397,274,0,0,695,623,730,265,99,11,68,11,0,0,0,0
379,228,0,0,691,629,721,248,85,2,58,4,0,0,0,0
361,207,0,0,681,634,703,197,86,0,34,0,0,0,0,0
371,227,0,0,694,630,733,252,95,0,59,0,0,0,0,0
377,187,0,0,737,677,760,241,101,0,24,0,0,0,0,0
358,227,0,0,710,609,754,256,86,5,54,4,0,0,0,0
337,222,0,0,687,570,735,231,60,0,58,0,0,0,0,0
339,155,0,0,720,626,738,175,55,0,21,0,0,0,0,0
304,96,0,0,725,643,741,171,65,0,12,0,0,0,0,0
341,162,0,0,725,657,743,175,99,0,30,0,0,0,0,0
350,193,0,0,710,645,734,197,91,0,49,0,0,0,0,0
331,188,0,0,714,625,740,209,72,0,44,0,0,0,0,0
349,211,0,0,710,623,737,214,89,1,49,0,0,0,0,0
299,140,0,0,671,577,714,198,66,0,18,0,0,0,0,0
313,114,0,0,723,647,740,189,78,0,16,0,0,0,0,0
366,175,0,0,749,687,754,191,97,0,24,0,0,0,0,0
360,198,0,0,726,650,738,211,98,0,32,0,0,0,0,0
355,202,0,0,717,636,730,213,89,0,42,0,0,0,0,0
357,113,0,0,736,666,738,178,95,0,11,0,0,0,0,0
305,37,0,0,737,679,733,145,81,0,5,0,0,0,0,0
316,78,0,0,728,673,735,147,86,0,16,0,0,0,0,0
328,115,0,0,731,674,733,148,85,0,21,0,0,0,0,0
326,128,0,0,723,651,723,169,69,0,25,0,0,0,0,0
321,130,0,0,724,643,723,176,74,0,22,0,0,0,0,0
255,56,0,0,684,562,716,165,44,0,9,0,0,0,0,0
296,54,0,0,737,650,735,159,70,0,5,0,0,0,0,0
305,64,0,0,749,676,745,156,87,0,7,0,0,0,0,0
309,134,0,0,725,628,729,179,77,0,15,0,0,0,0,0
319,149,0,0,717,606,721,184,87,0,26,0,0,0,0,0
311,61,0,0,739,651,720,121,90,0,0,0,0,0,0,0
207,0,0,0,735,659,727,113,53,0,0,0,0,0,0,0
249,32,0,0,709,622,715,135,62,0,0,0,0,0,0,0
286,71,0,0,727,642,721,137,74,0,8,0,0,0,0,0
292,60,0,0,739,653,730,150,89,0,10,0,0,0,0,0
292,68,0,0,723,655,712,99,67,0,4,0,0,0,0,0
278,27,0,0,725,660,711,116,55,0,0,0,0,0,0,0
304,48,0,0,745,700,737,142,69,0,0,0,0,0,0,0
314,53,0,0,745,689,721,127,78,0,0,0,0,0,0,0
304,61,0,0,733,648,708,120,54,0,7,0,0,0,0,0
320,50,0,0,748,661,701,85,57,0,0,0,0,0,0,0
311,23,0,0,753,690,703,92,53,0,0,0,0,0,0,0
283,19,0,0,729,654,703,108,68,0,0,0,0,0,0,0
312,54,0,0,741,662,698,105,83,0,3,0,0,0,0,0
312,40,0,0,744,663,693,106,81,0,0,0,0,0,0,0
316,43,0,0,743,671,671,79,67,0,0,0,0,0,0,0
238,0,0,0,719,614,672,95,58,0,0,0,0,0,0,0
296,29,0,0,756,673,707,120,80,0,0,0,0,0,0,0
