Pin 0,Pin 1,Pin 2,Pin 3,Pin 4,Pin 5,Pin 6,Pin 7,Pin 8,Pin 9,Pin 10,Pin 11,Pin 12,Pin 13,Pin 14,Pin 15
461,591,431,0,734,430,721,371,67,36,166,0,169,0,329,0
463,595,438,0,736,404,725,366,62,35,170,0,200,0,340,0
442,593,450,0,725,314,730,379,42,30,173,0,229,0,380,0
470,613,479,0,746,389,748,404,45,35,171,7,278,0,418,0
512,624,492,0,753,452,751,418,62,53,176,19,293,0,415,0
509,630,501,0,757,459,758,433,65,51,173,31,308,0,425,0
511,624,461,0,760,490,751,409,58,33,158,19,245,0,385,0
523,623,450,0,761,517,743,394,68,33,158,9,220,0,357,0
566,645,468,0,756,569,731,357,73,50,192,20,348,0,464,0
532,641,483,0,764,514,746,356,47,39,173,12,305,0,433,0
491,611,460,0,752,447,735,356,30,27,171,6,295,0,412,0
495,600,437,0,754,496,720,328,31,13,158,0,249,0,374,0
493,603,438,0,747,477,718,338,32,12,173,0,267,0,393,0
474,590,434,0,726,400,709,333,18,7,166,0,283,0,406,0
447,576,450,0,702,236,713,360,14,9,165,0,340,0,434,0
487,609,470,0,735,373,727,362,46,25,195,0,362,0,445,0
492,616,469,0,736,397,725,372,45,27,193,3,364,0,443,0
472,615,492,0,719,257,733,402,50,26,208,20,389,0,469,0
471,614,498,0,699,204,727,414,53,34,214,36,394,0,479,0
461,612,494,0,704,225,724,390,27,27,215,26,367,0,459,0
461,608,485,0,717,249,726,391,29,14,209,17,328,0,424,0
449,607,492,0,718,223,734,420,27,8,208,25,344,0,433,0
464,616,492,0,729,297,734,410,12,6,206,10,343,0,448,0
491,632,511,0,744,344,745,432,19,21,216,24,356,0,459,0
488,629,505,0,751,324,748,425,38,18,217,31,342,0,438,0
476,628,506,0,752,285,749,432,27,10,218,34,335,0,438,0
463,627,509,0,753,274,750,433,27,4,219,29,335,0,428,0
478,627,496,0,758,356,739,408,11,4,204,16,318,0,399,0
464,610,481,0,744,343,723,386,3,2,187,11,303,0,401,0
452,603,470,0,742,304,718,379,2,1,190,5,305,0,407,0
431,589,450,0,725,273,706,359,0,0,190,6,270,0,378,0
462,605,457,0,739,346,706,359,6,0,199,7,303,0,385,0
435,603,486,0,721,172,716,379,1,0,212,19,336,0,421,0
432,609,507,0,727,169,727,404,4,0,215,26,358,0,443,0
406,587,495,0,700,118,719,393,1,0,199,18,348,0,431,0
446,602,480,0,718,223,711,363,6,0,198,16,348,0,428,0
446,602,488,0,719,216,711,347,8,0,186,16,352,0,425,0
424,602,500,0,726,166,724,380,0,0,178,18,341,0,424,0
437,608,506,0,732,201,729,385,5,0,184,20,347,0,433,0
456,624,514,0,752,250,747,409,10,0,180,16,346,0,424,0
449,616,496,0,755,288,739,388,7,0,156,9,291,0,393,0
433,610,504,0,755,227,744,404,8,0,180,12,276,0,397,0
453,619,495,0,768,319,743,383,14,0,181,11,246,0,360,0
433,615,498,0,769,277,745,386,10,0,184,10,248,0,360,0
434,594,433,0,773,380,723,325,9,0,124,0,169,0,273,0
430,585,426,0,772,401,711,303,13,0,143,0,189,0,276,0
435,593,424,0,768,404,697,280,14,0,162,0,214,0,284,0
444,600,429,0,766,396,690,273,12,0,163,0,222,0,294,0
432,585,407,0,757,379,664,249,18,0,159,0,221,0,269,0
419,573,419,0,737,317,679,284,15,0,169,0,236,0,306,0
454,600,414,0,753,361,680,276,23,0,176,0,275,0,338,0
432,594,451,0,733,257,694,304,24,0,180,0,321,0,386,0
462,611,441,0,747,346,687,284,21,0,174,0,319,0,390,0
461,606,414,0,752,384,683,269,13,0,160,0,267,0,346,0
434,602,427,0,752,296,692,293,4,0,173,0,225,0,337,0
449,611,431,0,759,346,695,298,10,0,173,0,213,0,322,0
496,639,433,0,790,451,708,291,25,0,184,13,231,0,279,0
486,632,448,0,776,409,710,311,21,0,186,15,243,0,318,0
463,640,498,0,772,219,731,354,25,0,198,36,316,0,384,0
454,627,492,0,774,214,730,356,25,0,208,38,272,0,344,0
451,611,460,0,774,281,718,321,20,0,175,24,200,0,282,0
464,612,423,0,779,388,700,284,22,0,169,3,159,0,234,0
465,613,428,0,768,356,696,281,25,0,182,11,218,0,270,0
452,579,399,0,725,211,674,271,27,0,189,13,209,0,271,0
451,581,422,0,712,205,673,264,32,0,203,18,290,0,333,0
486,611,430,0,741,289,688,259,45,0,199,27,299,0,328,0
492,627,465,0,747,248,695,262,45,0,222,47,352,0,367,0
467,598,456,0,708,140,680,230,52,0,213,56,351,0,357,0
497,604,433,0,729,307,664,194,62,0,186,34,290,0,281,0
483,594,415,0,728,297,664,208,48,0,180,35,268,0,258,0
507,624,442,0,758,361,680,215,57,0,186,35,279,0,272,0
518,634,447,0,770,435,682,212,66,0,185,24,236,0,241,0
538,648,446,0,788,496,693,243,29,0,185,34,224,0,257,0
548,645,414,0,795,540,682,190,60,0,172,6,117,0,137,0
576,661,450,0,784,509,677,198,80,0,245,57,268,16,287,0
