Pin 0,Pin 1,Pin 2,Pin 3,Pin 4,Pin 5,Pin 6,Pin 7,Pin 8,Pin 9,Pin 10,Pin 11,Pin 12,Pin 13,Pin 14,Pin 15
323,482,91,0,733,649,730,440,185,48,372,0,0,0,0,0
369,536,253,0,668,431,721,514,166,95,435,0,0,0,0,0
371,535,290,0,661,450,709,530,183,85,429,26,0,0,12,0
398,526,344,60,672,518,703,540,220,115,416,129,0,0,0,0
399,481,356,113,663,499,694,534,216,158,410,179,0,0,0,0
374,443,308,46,665,460,723,552,187,189,396,101,0,0,0,0
361,393,271,58,669,479,731,562,178,227,391,134,0,0,0,0
253,443,176,0,675,517,682,493,82,60,348,45,0,0,0,0
283,489,150,0,731,669,613,398,70,36,344,23,0,0,0,0
338,532,120,0,743,693,529,292,69,53,356,36,0,0,0,0
388,577,208,21,741,669,552,428,61,70,389,105,0,0,0,0
388,588,148,0,759,688,570,414,69,66,372,65,0,0,0,0
373,586,143,0,773,703,617,434,81,49,367,40,0,0,0,0
327,557,176,0,701,584,624,436,104,39,384,45,0,0,0,0
292,517,204,0,616,319,677,485,115,33,410,56,0,0,0,0
310,512,221,0,628,333,691,511,104,42,415,72,0,0,0,0
312,529,125,0,718,628,659,430,91,14,365,11,0,0,0,0
324,554,130,0,750,685,604,412,54,31,369,32,0,0,0,0
380,584,115,0,764,706,527,306,35,43,382,51,0,0,0,0
367,587,111,0,766,700,517,370,19,22,372,56,0,0,0,0
379,607,150,2,770,699,547,428,23,23,385,64,0,0,0,0
401,611,113,0,786,724,557,378,48,17,388,44,0,0,0,0
372,606,108,0,767,689,573,355,48,9,383,41,0,0,0,0
325,572,165,0,714,574,657,454,114,1,389,35,0,0,0,0
242,494,265,10,576,176,696,549,122,16,440,103,0,0,27,0
247,509,264,0,622,300,708,558,116,13,445,77,0,0,0,0
254,525,159,0,702,581,692,492,80,0,381,15,0,0,0,0
297,555,127,0,739,665,636,406,59,0,382,23,0,0,0,0
325,585,116,0,751,684,551,311,22,0,396,53,0,0,0,0
360,600,101,0,754,694,483,283,9,0,401,78,0,0,0,0
398,622,112,0,767,711,500,328,16,0,395,63,0,0,9,0
399,626,124,0,785,723,555,376,26,0,399,62,0,0,0,0
360,603,121,0,776,704,580,376,41,0,375,31,0,0,0,0
318,581,166,0,739,634,652,441,92,0,380,25,0,0,0,0
267,490,252,5,572,204,669,520,113,0,432,96,0,0,38,0
299,531,246,0,671,415,709,516,107,0,414,45,0,0,0,0
299,543,214,0,710,543,711,505,84,0,400,21,0,0,0,0
209,526,151,0,727,608,652,472,25,0,375,16,0,0,0,0
287,559,152,0,747,665,556,336,18,0,386,56,0,0,0,0
308,585,136,0,770,695,568,400,11,0,377,49,0,0,0,0
296,594,144,6,766,674,556,435,3,0,391,58,0,0,0,0
354,619,169,9,788,713,601,440,16,0,396,53,0,0,0,0
343,605,112,0,781,712,596,375,39,0,379,25,0,0,0,0
288,586,170,0,730,609,640,448,69,0,398,41,0,0,0,0
242,501,219,0,607,236,693,512,95,0,431,74,0,0,0,0
243,493,255,0,623,285,727,545,88,0,441,75,0,0,0,0
249,512,218,0,669,438,718,515,82,0,421,38,0,0,0,0
160,491,124,0,713,601,661,492,31,0,384,9,0,0,0,0
217,535,66,0,758,678,589,375,13,0,373,15,0,0,0,0
356,603,97,0,771,711,505,304,9,0,387,52,0,0,0,0
371,609,104,1,755,692,456,288,6,0,402,69,0,0,27,0
389,634,103,4,789,731,522,322,10,0,400,57,0,0,5,0
371,614,74,0,777,714,537,282,16,0,381,28,0,0,0,0
293,582,168,0,729,612,641,435,65,0,393,26,0,0,0,0
226,465,276,22,535,152,692,553,110,0,450,123,0,0,61,0
221,464,299,31,576,175,730,583,105,0,456,116,0,0,15,0
251,508,260,0,649,350,733,560,91,0,438,52,0,0,0,0
242,525,175,0,696,571,676,495,41,0,393,19,0,0,0,0
310,584,244,33,722,618,632,511,29,0,425,86,0,0,0,0
317,606,158,32,751,666,541,407,0,0,427,87,0,0,46,0
