Pin 0,Pin 1,Pin 2,Pin 3,Pin 4,Pin 5,Pin 6,Pin 7,Pin 8,Pin 9,Pin 10,Pin 11,Pin 12,Pin 13,Pin 14,Pin 15
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,200,208,0,0,0,44,0,0,26,0
0,0,0,0,397,332,445,212,0,0,0,85,0,0,1,0
60,41,29,0,640,585,597,337,0,0,0,0,0,0,36,0
115,57,55,0,651,602,606,343,0,6,0,0,27,0,168,0
183,21,45,0,522,483,502,304,0,103,144,50,323,0,392,0
113,0,0,0,511,515,347,94,0,28,33,2,244,0,339,0
339,235,67,0,756,762,654,295,84,92,92,65,272,0,223,0
264,135,7,0,724,731,609,208,33,61,49,21,207,0,213,0
210,86,0,0,691,689,586,198,25,55,39,10,202,0,218,0
227,92,0,0,700,704,596,228,18,49,35,7,175,0,183,0
234,98,0,0,709,717,601,230,20,52,39,3,182,0,173,0
284,152,7,0,724,733,623,271,35,65,56,15,254,0,247,0
280,165,7,0,730,740,624,270,38,62,45,10,224,0,238,0
245,160,0,0,732,729,628,246,21,42,39,6,175,0,219,0
191,85,0,0,728,705,633,252,4,28,27,0,113,0,127,0
207,89,2,0,734,708,649,296,10,35,33,0,138,0,154,0
202,75,0,0,731,710,649,298,20,41,36,0,141,0,159,0
196,55,0,0,726,712,644,299,21,43,32,0,127,0,164,0
195,85,3,0,724,708,645,312,20,49,34,0,152,0,181,0
188,92,7,0,722,691,651,315,13,45,34,0,154,0,187,0
210,125,0,0,740,716,644,250,22,37,30,0,117,0,178,0
177,97,0,0,741,706,642,231,5,14,19,0,83,0,145,0
181,93,0,0,739,711,626,207,8,14,20,0,81,0,128,0
171,68,0,0,719,703,584,149,3,10,17,0,66,0,94,0
195,94,0,0,726,718,591,147,11,19,20,0,86,0,106,0
212,97,0,0,736,732,605,175,19,27,23,0,99,0,107,0
219,97,0,0,737,737,604,154,23,24,23,0,101,0,102,0
252,121,0,0,747,747,611,149,25,38,31,0,83,0,111,0
252,141,0,0,746,741,620,172,23,41,58,0,116,0,160,0
200,106,0,0,732,715,622,190,5,23,34,0,122,0,156,0
189,86,0,0,740,720,625,201,9,19,31,0,103,0,111,0
183,69,0,0,745,721,640,233,10,22,27,0,105,0,104,0
179,45,0,0,745,721,642,241,8,20,28,0,75,0,74,0
188,73,0,0,744,718,651,265,7,36,31,0,92,0,127,0
203,107,6,0,741,715,652,275,8,41,39,0,124,0,175,0
